Event ID,Event Name,Event Alias
1,Left neck lateral flexion,left cervical spine lateral flexion
2,Right neck lateral flexion,Right cervical spine lateral flexion
3,Neck flexion,Cervical spine flexion
4,Repeated neck flexion,Repeated cervical spine flexion
5,Neck extension,Cervical spine extension
6,Neck hyperextension,Cervical spine hyperextension
7,Left neck lateral rotation,Left cervical spine lateral rotation
8,Right neck lateral rotation,Right cervical spine lateral rotation
9,Repeated neck lateral rotation,Repeated cervical spine lateral rotation
10,Right shoulder flexion,
11,Left shoulder flexion,
12,Both shoulders flexion,
13,Right shoulder extension,
14,Left shoulder extension,
15,Both shoulders extension,
16,Right shoulder abduction,
17,Left shoulder abduction,
18,Both shoulders abduction,
19,Right shoulder adduction,
20,Left shoulder adduction,
21,Both shoulders adduction,
22,Right shoulder circumduction,
23,Left shoulder circumduction,
24,Both shoulders circumduction,
25,Right shoulder internal rotation,
26,Left shoulder internal rotation,
27,Both shoulders internal rotation,
28,Right shoulder external rotation,
29,Left shoulder external rotation,
30,Both shoulders external rotation,
31,Right shoulder elevation,Right scapular elevation
32,Left shoulder elevation,Left scapular elevation
33,Both shoulders elevation,Both scapulae elevation
34,Right shoulder depression,Right scapular depression
35,Left shoulder depression,Left scapular depression
36,Both shoulders depression,Both scapulae depression
37,Right shoulder protraction,Right scapular protraction
38,Left shoulder protraction,Left scapular protraction
39,Both shoulders protraction,Both scapulae protraction
40,Right shoulder retraction,Right scapular retraction
41,Left shoulder retraction,Left scapular retraction
42,Both shoulders retraction,Both scapulae retraction
43,Right elbow flexion,
44,Left elbow flexion,
45,Both hands elbows flexion,
46,Right elbow extension,
47,Left elbow extension,
48,Both  elbows extension,
49,Right wrist flexion,
50,Left wrist flexion,
51,Both wrist flexion,
52,Right wrist extension,
53,Left wrist extension,
54,Both  wrist extension,
55,Right wrist radial deviation,
56,Left wrist radial deviation,
57,Right wrist ulnar deviation,
58,Left wrist ulnar deviation,
59,Both wrist ulnar deviation,
60,Right wrist supination,
61,Left wrist supination,
62,Both  wrists supination,
63,Right wrist pronation,
64,Left wrist pronation,
65,Both  wrists pronation,
66,Right hand abduction,
67,Left hand abduction,
68,Both hands abduction,
69,Right hand adduction,
70,Left hand adduction,
71,Both hands addduction,
72,Right hand flexion,
73,Left hand flexion,
74,Both hands flexion,
75,Right hand extension,
76,Left hand extension,
77,Both hands extension,
78,Right hand fingers abduction,
79,Left hand fingers abduction,
80,Both hands fingers abduction,
81,Right hand fingers adduction,
82,Left hand fingers adduction,
83,Both hands fingers adduction,
84,Right hand fingers flexion,
85,Left hands finger flexion,
86,Both hands fingers flexion,
87,Right hand fingers extension,
88,Left hand fingers extension,
89,Both hands fingers extension,
90,Right thumb abduction,
91,Left thumb abduction,
92,Both hands thumb abduction,
93,Right thumb adduction,
94,Left thumb adduction,
95,Both hands thumb adduction,
96,Right thumb flexion,
97,Left thumb flexion,
98,Both hands thumb flexion,
99,Right thumb extension,
100,Left thumb extension,
101,Both hands thumb extension,
102,Right index finger flexion,
103,Left index finger flexion,
104,Both hands index finger flexion,
105,Right index finger extension,
106,Left index finger extension,
107,Both hands index finger extension,
108,Right long finger flexion,
109,Left long finger flexion,
110,Both hands long finger flexion,
111,Right long finger extension,
112,Left long finger extension,
113,Both hands long finger extension,
114,Right ring finger flexion,
115,Left ring finger flexion,
116,Both hands ring finger flexion,
117,Right ring finger extension,
118,Left ring finger extension,
119,Both hands ring finger extension,
120,Right pinky finger flexion,
121,Left pinky finger flexion,
122,Both hands pinky finger flexion,
123,Right pinky finger extension,
124,Left pinky finger extension,
125,Both hands pinky finger extension,
126,Right knee extension,
127,Left knee extension,
128,Both knees extension,
129,Right knee flexion,
130,Left knee flexion,
131,Both knees flexion,
132,Right hip extension,
133,Left hip extension,
134,Both hips extension,
135,Right hip flexion,
136,Left hip flexion,
137,Both hips flexion,
138,Right hip abduction,
139,Left hip abduction,
140,Both hips abduction,
141,Right hip adduction,
142,Left hip adduction,
143,Both hips adduction,
144,Right hip internal rotation,
145,Left hip internal rotation,
146,Both hips internal rotation,
147,Right hip external rotation,
148,Left hip external rotation,
149,Both hips external rotation,
150,Right hip circumduction,
151,Left hip circumduction,
152,Right ankle dorsiflexion,Right foot dorsiflexion
153,Left ankle dorsiflexion,Left foot dorsiflexion
154,Both ankles dorsiflexion,Both feet dorsiflexion
155,Right ankle plantarflexion,Right foot plantarflexion
156,Left ankle plantarflexion,Left foot plantarflexion
157,Both ankles plantarflexion,Both feet plantarflexion
158,Right ankle inversion,Right foot inversion
159,Left ankle inversion,Left foot inversion
160,Both ankles inversion,Both feet inversion
161,Right ankle eversion,Right foot eversion
162,Left ankle eversion,Left foot eversion
163,Both ankles eversion,Both feet eversion
164,Lumbar spine flexion,
165,Lumbar spine extension,
166,Right lumbar spine lateral flexion,
167,Left lumbar spine lateral flexion,
168,Right lumbar spine rotation,
169,Left lumbar spine rotation,
170,Folding lips inword,
171,Lip bite,
172,Lip purse,
173,Cheek blow,
174,Chewing,
175,Compressed lips,
176,Brings gaze up ,
177,Sudden stop of walk,
178,Right thumb finger,
179,Left thumb finger,
180,Both hands thumb fingers,
181,Right index finger,
182,Right long finger,
183,Opens mouth,
184,Puckering lips outward,
185,Smiling,
186,Left turn,
187,Straight segment,
188,Lip purse,
189,Back turn,